HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2460009.83556,2023-03-06.3359967,bk,1.51,15.919,13.365,0.021,16.358,0.318,g
2460009.83680,2023-03-06.3372409,bk,1.52,15.972,13.346,0.019,16.649,0.304,g
2460011.82563,2023-03-08.3258790,bG,1.49,15.800,13.267,0.021,17.925,0.355,g
2460011.82693,2023-03-08.3271855,bG,1.51,16.007,13.311,0.019,17.204,0.301,g
2460011.82824,2023-03-08.3284986,bG,1.47,15.754,13.299,0.023,17.391,0.367,g
2460012.78879,2023-03-09.2889483,bk,1.40,15.836,13.298,0.021,17.410,0.343,g
2460012.79005,2023-03-09.2902062,bk,1.46,15.727,13.374,0.026,16.248,0.380,g
2460012.79129,2023-03-09.2914432,bk,1.51,15.842,13.293,0.022,17.489,0.344,g
2460013.79645,2023-03-10.2965138,bk,1.51,15.854,13.328,0.022,16.938,0.339,g
2460013.79770,2023-03-10.2977638,bk,1.45,15.911,13.316,0.020,17.125,0.321,g
2460019.89175,2023-03-16.3912332,bG,1.49,16.062,13.339,0.019,16.765,0.282,g
2460019.89304,2023-03-16.3925199,bG,1.47,16.163,13.361,0.018,16.429,0.259,g
2460019.89432,2023-03-16.3938056,bG,1.56,16.101,13.333,0.018,16.850,0.272,g
2460020.90670,2023-03-17.4060888,bG,1.54,16.133,13.311,0.017,17.190,0.269,g
2460020.90799,2023-03-17.4073763,bG,1.60,16.107,13.310,0.018,17.225,0.271,g
2460020.90929,2023-03-17.4086784,bG,1.48,16.044,13.318,0.019,17.096,0.286,g
2460021.74313,2023-03-18.2424344,bk,1.50,16.178,13.291,0.015,17.522,0.250,g
2460021.74437,2023-03-18.2436787,bk,1.41,16.190,13.340,0.016,16.758,0.249,g
2460021.74563,2023-03-18.2449368,bk,1.45,16.177,13.285,0.015,17.625,0.251,g
2460025.50221,2023-03-22.0011662,bo,2.30,15.969,13.215,0.018,18.790,0.310,g
2460025.50360,2023-03-22.0025546,bo,2.28,16.025,13.264,0.018,17.977,0.299,g
2460026.71598,2023-03-23.2148231,bk,1.52,16.139,13.180,0.014,19.396,0.259,g
2460026.71723,2023-03-23.2160732,bk,1.60,16.151,13.214,0.016,18.810,0.262,g
2460026.71847,2023-03-23.2173138,bk,1.61,16.090,13.203,0.016,18.996,0.276,g
2460026.76943,2023-03-23.2682667,bG,2.17,16.082,13.199,0.016,19.058,0.282,g
2460026.77073,2023-03-23.2695642,bG,2.19,16.136,13.196,0.016,19.127,0.267,g
2460026.77201,2023-03-23.2708508,bG,2.17,16.094,13.199,0.016,19.077,0.276,g
2460028.71116,2023-03-25.2098150,bG,2.15,16.088,13.243,0.017,18.314,0.277,g
2460028.71245,2023-03-25.2111071,bG,2.14,16.082,13.270,0.016,17.877,0.276,g
2460028.71374,2023-03-25.2123888,bG,2.14,16.047,13.227,0.017,18.580,0.286,g
2460029.70972,2023-03-26.2082839,bk,1.43,16.120,13.269,0.016,17.880,0.263,g
2460029.71096,2023-03-26.2095325,bk,1.43,16.120,13.224,0.015,18.635,0.265,g
2460029.71223,2023-03-26.2107883,bk,1.40,16.104,13.270,0.016,17.873,0.266,g
2460030.70693,2023-03-27.2054009,bG,1.57,16.082,13.274,0.017,17.812,0.279,g
2460030.70821,2023-03-27.2066881,bG,1.54,16.065,13.301,0.018,17.364,0.285,g
2460030.70951,2023-03-27.2079832,bG,1.52,16.031,13.282,0.018,17.661,0.289,g
2460030.75082,2023-03-27.2493005,bk,1.39,16.199,13.298,0.015,17.404,0.246,g
2460030.75208,2023-03-27.2505516,bk,1.42,16.201,13.310,0.016,17.210,0.249,g
2460030.75332,2023-03-27.2517888,bk,1.42,16.200,13.268,0.016,17.896,0.249,g
2460031.70993,2023-03-28.2083133,bG,1.56,16.114,13.309,0.016,17.239,0.267,g
2460031.71122,2023-03-28.2096009,bG,1.57,16.087,13.273,0.017,17.812,0.275,g
2460031.71252,2023-03-28.2109027,bG,1.52,16.107,13.265,0.017,17.952,0.271,g
2460032.73178,2023-03-29.2300719,bG,1.97,16.058,13.284,0.017,17.647,0.279,g
2460032.73309,2023-03-29.2313777,bG,1.64,16.108,13.276,0.017,17.769,0.273,g
2460032.73436,2023-03-29.2326571,bG,1.97,16.081,13.285,0.017,17.634,0.276,g
2460035.87841,2023-04-01.3764146,bk,1.97,16.185,13.282,0.015,17.665,0.248,g
2460035.87963,2023-04-01.3776409,bk,1.98,16.288,13.286,0.014,17.611,0.228,g
2460035.88089,2023-04-01.3789052,bk,1.99,16.253,13.305,0.014,17.292,0.235,g
2460036.85661,2023-04-02.3545386,bk,1.48,16.314,13.325,0.014,16.988,0.224,g
2460036.85784,2023-04-02.3557664,bk,1.52,16.196,13.277,0.015,17.748,0.249,g
2460036.85909,2023-04-02.3570171,bk,1.51,16.256,13.252,0.015,18.161,0.238,g
2460037.91441,2023-04-03.4122451,bG,1.46,16.090,13.285,0.016,17.621,0.274,g
2460037.91570,2023-04-03.4135326,bG,1.51,16.119,13.272,0.017,17.835,0.271,g
2460037.91699,2023-04-03.4148188,bG,1.41,16.029,13.293,0.019,17.487,0.291,g
2460039.50678,2023-04-05.0044740,bo,1.47,15.941,13.334,0.021,16.852,0.313,g
2460039.50821,2023-04-05.0059042,bo,1.55,15.746,13.316,0.024,17.115,0.373,g
2460039.50971,2023-04-05.0074086,bo,1.50,15.955,13.278,0.020,17.723,0.310,g
2460040.67894,2023-04-06.1765398,bG,1.56,15.569,13.327,0.028,16.947,0.434,g
2460040.68023,2023-04-06.1778231,bG,1.44,15.429,13.339,0.032,16.765,0.495,g
2460040.68152,2023-04-06.1791128,bG,1.47,15.538,13.324,0.029,16.987,0.447,g
2460041.68532,2023-04-07.1828229,bk,1.46,15.463,13.248,0.028,18.221,0.481,g
2460041.68656,2023-04-07.1840670,bk,1.46,15.562,13.356,0.029,16.508,0.438,g
