HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458905.81006,2020-02-26.3112657,bG,1.41,16.043,13.164,0.016,19.681,0.291,g
2458905.81133,2020-02-26.3125444,bG,1.44,15.965,13.137,0.017,20.185,0.310,g
2458906.81052,2020-02-27.3116388,bk,1.46,16.135,13.224,0.015,18.626,0.259,g
2458906.81175,2020-02-27.3128643,bk,1.45,16.093,13.190,0.016,19.232,0.279,g
2458906.81296,2020-02-27.3140813,bk,1.46,16.046,13.192,0.016,19.188,0.283,g
2458907.80230,2020-02-28.3033207,bk,1.42,16.091,13.125,0.014,20.423,0.273,g
2458907.80352,2020-02-28.3045424,bk,1.42,16.062,13.137,0.016,20.201,0.290,g
2458908.82077,2020-02-29.3216946,bk,1.47,16.091,13.160,0.015,19.754,0.274,g
2458908.82201,2020-02-29.3229387,bk,1.47,16.090,13.191,0.016,19.209,0.284,g
2458908.82323,2020-02-29.3241583,bk,1.41,16.090,13.185,0.015,19.327,0.271,g
2458909.80192,2020-03-01.3027571,bG,1.40,16.001,13.098,0.016,20.939,0.302,g
2458909.80319,2020-03-01.3040276,bG,1.38,16.035,13.125,0.016,20.412,0.297,g
2458909.80445,2020-03-01.3053016,bG,1.41,16.000,13.103,0.016,20.839,0.307,g
2458910.79364,2020-03-02.2943825,bG,1.46,15.997,13.104,0.016,20.811,0.300,g
2458910.79491,2020-03-02.2956550,bG,1.41,15.979,13.081,0.016,21.255,0.306,g
2458910.79619,2020-03-02.2969313,bG,1.44,15.990,13.103,0.016,20.833,0.304,g
2458911.79268,2020-03-03.2933312,bG,1.45,16.022,13.080,0.016,21.292,0.299,g
2458911.79397,2020-03-03.2946171,bG,1.40,15.987,13.098,0.016,20.930,0.306,g
2458911.79525,2020-03-03.2958976,bG,1.48,16.068,13.136,0.016,20.205,0.286,g
2458912.78820,2020-03-04.2887592,bG,1.41,16.066,13.125,0.016,20.433,0.291,g
2458912.78948,2020-03-04.2900331,bG,1.44,15.976,13.076,0.016,21.364,0.307,g
2458912.79075,2020-03-04.2913097,bG,1.43,16.011,13.090,0.016,21.089,0.301,g
2458912.89144,2020-03-04.3919895,bk,1.42,16.114,13.098,0.015,20.922,0.271,g
2458912.89389,2020-03-04.3944376,bk,1.41,16.070,13.145,0.015,20.054,0.277,g
2458913.89825,2020-03-05.3986945,bk,1.54,16.085,13.145,0.016,20.043,0.277,g
